Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016
Central African Republic,CAF,74.68734697,88.29022555,109.9461625,123.3109153,225.9135139,362.4006431,257.3536366,469.5293413,477.1223243,304.6312597,251.2068774,320.7374603,464.5614221,565.800697,402.1912906
Canada,CAN,2259.294285,2555.111146,3462.678872,5089.587902,8809.26466,11170.56397,13877.91708,18936.9641,20879.84833,21227.34753,24190.24962,32034.30774,46594.45095,52678.39012,42322.48478
Central Europe and the Baltics,CEB,,,,,,,,,2358.053473,3793.633463,3946.842485,7171.174169,14585.41472,13014.71588,12822.37622
Switzerland,CHE,1787.360348,2501.29319,3121.889031,5714.340897,10550.30092,18832.19669,16499.14695,31743.65294,39534.54204,46676.85097,37868.32303,53340.14768,72487.84594,83538.23003,80172.23209
Channel Islands,CHI,,,,,,,,,,,43381.65784,56753.3862,,,
Chile,CHL,505.3492012,678.1278758,756.9124805,1173.218505,961.4244253,2542.764252,1624.632237,2026.838545,3350.213845,5349.804127,5074.901624,6194.853107,10751.47967,15351.55133,13753.59444
China,CHN,89.52054151,85.49855516,91.47271831,131.8835612,165.4055404,194.8047222,250.713969,283.5376952,366.4606923,709.4137551,959.3724836,1508.668098,3468.304602,6316.918318,8147.937705
Cote d'Ivoire,CIV,155.8998998,226.2270418,271.8532878,331.6692963,694.3831437,1266.624192,717.8973662,924.3265787,870.4811773,827.7620057,651.3059068,922.8552224,1240.614829,1243.273487,2013.382462
Cameroon,CMR,119.5191788,138.6460281,169.8124533,208.3754538,401.4130294,781.8627923,799.5476484,1128.019028,911.7414218,752.5250994,649.9918454,1009.94312,1371.746708,1354.545613,1364.33011
"Congo, Dem. Rep.",COD,220.3140621,170.4669949,206.7149074,292.297084,409.5243296,546.1124374,269.8426316,273.1278446,220.3718557,134.9819243,405.216253,194.0399624,327.5637218,424.6003861,471.3188404
"Congo, Rep.",COG,129.3704635,165.0094591,200.3951777,291.9750014,476.8513829,959.4264183,1098.441091,991.5173724,1178.023799,912.0139881,1029.577037,1326.596688,2904.12549,3922.868267,2074.970159
Colombia,COL,251.0415229,328.6550321,292.2574962,385.1125208,623.4289691,1241.639587,1304.177177,1232.226154,1697.112936,2620.538762,2520.481089,2782.623185,5472.53653,8050.255372,5870.777957
Comoros,COM,,,,,,689.4029686,534.6320911,918.902129,1047.979551,810.5442344,645.8186908,1061.079101,1393.211792,1403.34862,1273.058953
Cabo Verde,CPV,,,,,,501.13926,431.2431894,811.3933564,1003.946473,1269.120577,1259.323656,2024.275248,3721.250949,3447.524041,3130.963386
Costa Rica,CRI,381.3651146,352.3371137,442.7785953,636.9053799,1122.809722,2021.545396,1373.937714,1558.507448,2595.022522,3198.548672,3772.870012,4385.390719,6859.079022,9913.209959,11666.45591
Caribbean small states,CSS,448.2562037,547.9501627,645.9262777,925.5256881,1511.872345,2461.645556,2778.882234,2775.615669,2874.376529,3799.495317,5250.375313,6459.590803,10225.38661,10187.27161,9518.183873
Cuba,CUB,,,,901.3673042,1443.302131,2021.724225,2396.35414,2640.920454,2057.103404,2286.927382,2747.098575,3395.71205,5411.271418,6497.321113,8060.795886
Curacao,CUW,,,,,,,,,,,,,,20587.39736,19555.36585
Cayman Islands,CYM,,,,,,,,,,,,,85186.75366,72783.31979,78465.35733
Cyprus,CYP,,,,,1157.411648,4232.022939,4258.743589,7645.629767,11310.07192,15139.22613,14388.34806,23792.62136,35397.36368,28912.15694,24532.51906
Czech Republic,CZE,,,,,,,,,3372.86543,6532.837055,6029.038193,11749.85266,22804.57768,19870.80121,18575.23203
Germany,DEU,,,,3809.981445,6634.856899,12138.3081,9313.169412,17931.28232,26438.23039,30485.86655,23635.92922,34044.05363,45427.15168,43858.36306,42107.51727
Djibouti,DJI,,,,,,,,748.1952492,777.2623296,767.500315,768.1760767,863.2316123,1223.856861,1559.240651,2802.197051
Dominica,DMA,,,,,,966.6815377,1478.071668,2402.906753,3317.90456,4120.418405,4787.780171,5217.230416,6469.145738,6848.394227,8080.968623
Denmark,DNK,,,2776.13539,4654.298936,8787.589722,13883.88714,11562.91908,22527.04673,29569.66036,35650.71409,30743.54768,46511.59833,64322.0635,58507.50805,54663.99837
Dominican Republic,DOM,204.1147475,272.9741462,254.0518576,417.9197003,748.9901948,1164.952626,1831.085303,783.035059,1532.903224,2293.755246,2869.105861,2487.329061,5087.985365,6110.369652,7280.880109
Algeria,DZA,,238.048532,281.925745,442.3518782,1037.607038,2202.997365,2467.346422,2417.376683,1776.036674,1603.937921,1765.022198,2609.952823,4923.843185,5591.212353,3945.482081
East Asia & Pacific (excluding high income),EAP,89.67780811,85.08728016,95.72585578,131.395724,196.1591057,275.4907351,329.2448403,368.3215805,487.8381284,868.0314789,956.670195,1428.07041,3091.117771,5378.90505,6612.327237
Early-demographic dividend,EAR,154.806242,179.1645441,197.7602183,252.8909416,480.6257458,815.9331485,784.5096834,787.3483664,998.7899208,1183.84063,1338.81287,1554.864951,2599.828804,3366.871974,3334.115479
East Asia & Pacific,EAS,147.2278825,181.6144867,244.7939294,414.5173481,699.6236111,1162.779287,1346.071903,2463.486728,3120.374767,4073.040609,4052.341776,4574.644682,6498.527366,9420.554328,9857.959376
Europe & Central Asia (excluding high income),ECA,,,,,,,,2425.722115,2200.719332,1982.51269,1794.540374,3392.550815,8298.876212,10206.4601,7058.861719
Europe & Central Asia,ECS,,,1141.464562,1836.989857,3113.079269,5794.804918,4523.253122,8577.95848,11534.02852,12930.44826,11648.06784,18114.91017,26419.86955,25075.84497,22383.04979
Ecuador,ECU,455.4615868,440.5597153,450.9997878,495.535764,1264.912873,2238.214842,1912.431487,1337.889484,1688.505067,2155.517229,1445.279324,2691.278081,4249.019262,5682.045007,6060.093329
"Egypt, Arab Rep.",EGY,,,180.4108756,257.5887293,337.7743775,500.3550452,708.1957624,655.0677687,713.4525239,1063.333095,1450.476242,1062.158092,2044.527855,3229.68563,3519.873203
Euro area,EMU,923.4256108,1355.995561,1828.766893,3026.07587,5275.345234,9806.335457,7642.64458,14833.20978,21455.45707,23916.61218,20165.83261,30948.95637,42178.29503,37599.91575,35147.74223
Eritrea,ERI,,,,,,,,,211.3317226,315.7511137,308.1337836,407.7699765,450.6328403,,
